source	log	path	corpus	corpus_bytes	iters	mode	warmup_iters	elapsed_s	ns_per_byte	mbps	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
p1a	parse_only__random__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__random__track1.log	random	510476	1959	parse_only_track1	0	3.100534	3.100464	2580.259	3041272130	11224349947	3.041204	0.270953	50552542	2379887	510476
p1a	parse_only__twitter__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__twitter__track1.log	twitter	631515	1584	parse_only_track1	0	0.411079	0.410948	19467.189	1354881981	6256511289	1.354449	0.216556	9265150	174340	0
p1a	parse_only__unicode_basic__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__unicode_basic__track1.log	unicode_basic	1048586	954	parse_only_track1	0	0.951665	0.951331	8409.267	2154407097	8502911467	2.153651	0.253373	20529592	597342	0
p1a	parse_only__unicode_escapes__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__unicode_escapes__track1.log	unicode_escapes	1050797	952	parse_only_track1	0	1.865544	1.864875	4289.831	3266528155	11847866571	3.265357	0.275706	37280623	1609514	0
p1a	parse_only__unicode_mixed__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__unicode_mixed__track1.log	unicode_mixed	1053086	950	parse_only_track1	0	2.999826	2.998531	2667.973	3553727081	7158790858	3.552194	0.496414	60930987	2581192	0
p1a	parse_only__update_center__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__update_center__track1.log	update_center	533178	1876	parse_only_track1	0	1.237671	1.237371	6465.318	2117437857	6897621754	2.116926	0.306981	25586344	934254	0
p1a	parse_only__y_string_unicode__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__y_string_unicode__track1.log	y_string_unicode	35601	28090	parse_only_track1	0	0.768232	0.768207	10413.856	3085040764	16157943485	3.084942	0.190930	17567061	266755	0
p1b	direct_strict_track1__apache_builds.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__apache_builds.log	apache_builds	127275	4715	direct_strict_track1	0	0.985290	1.641872	4872.487	2215254907	9675794969	3.691466	0.228948	21518713	629049	1631609170278642033
p1b	direct_strict_track1__canada.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__canada.log	canada	2251051	267	direct_strict_track1	0	1.648123	2.742161	2917.407	4458327433	25516811993	7.417804	0.174721	36646053	810888	1008468329916695715
p1b	direct_strict_track1__citm_catalog.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__citm_catalog.log	citm_catalog	1727204	348	direct_strict_track1	0	0.218201	0.363022	22037.219	592851726	4113582656	0.986332	0.144121	4868626	103157	0
p1b	direct_strict_track1__distinct_values.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__distinct_values.log	distinct_values	153630	3906	direct_strict_track1	0	3.269746	5.448861	1468.197	3497456512	13330933263	5.828329	0.262356	58261354	4109147	0
p1b	direct_strict_track1__github_events.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__github_events.log	github_events	65132	9213	direct_strict_track1	0	0.872671	1.454304	5500.915	1606701684	7353440415	2.677563	0.218497	17342400	855499	5164854789897046116
p1b	direct_strict_track1__gsoc-2018.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__gsoc-2018.log	gsoc-2018	3327831	181	direct_strict_track1	0	1.013845	1.683184	4752.896	2907813683	12272159682	4.827550	0.236944	22621878	499221	17588957560949363005
p1b	direct_strict_track1__instruments.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__instruments.log	instruments	220346	2723	direct_strict_track1	0	0.290003	0.483337	16551.591	1086577679	7556648439	1.810956	0.143791	6550833	121770	6053947005340795886
p1b	direct_strict_track1__marine_ik.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__marine_ik.log	marine_ik	2983466	202	direct_strict_track1	0	0.480905	0.797971	10025.424	1731772801	11946922612	2.873548	0.144956	10858337	201671	0
p1b	direct_strict_track1__mesh.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__mesh.log	mesh	723597	830	direct_strict_track1	0	2.211349	3.681988	2172.739	3056085249	16286143885	5.088510	0.187649	39981306	1931277	0
p1b	direct_strict_track1__numbers.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__numbers.log	numbers	150124	3997	direct_strict_track1	0	0.435770	0.726228	11015.826	1609484945	11231754971	2.682271	0.143298	9836346	179706	7821342331123428551
p1b	direct_strict_track1__random.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__random.log	random	510476	1176	direct_strict_track1	0	1.725438	2.874198	2783.385	3257573908	13777899637	5.426398	0.236435	33525126	1180168	0
p1b	direct_strict_track1__twitter.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__twitter.log	twitter	631515	951	direct_strict_track1	0	0.366697	0.610581	13102.278	1000595397	6092287249	1.666074	0.164240	8199015	172046	17794062064648910603
p1b	direct_strict_track1__unicode_basic.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__unicode_basic.log	unicode_basic	1048586	573	direct_strict_track1	0	1.726585	2.873619	2783.946	3580158808	13014123713	5.958592	0.275098	35242133	1472797	7152685547856090394
p1b	direct_strict_track1__unicode_escapes.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__unicode_escapes.log	unicode_escapes	1050797	571	direct_strict_track1	0	2.053317	3.422166	2337.701	7301748681	14534422319	12.169478	0.502376	46317507	875680	4835405340194808800
p1b	direct_strict_track1__unicode_mixed.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__unicode_mixed.log	unicode_mixed	1053086	570	direct_strict_track1	0	0.861328	1.434926	5575.199	3250708821	12884905068	5.415510	0.252288	19501332	346568	0
p1b	direct_strict_track1__update_center.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__update_center.log	update_center	533178	1126	direct_strict_track1	0	1.408291	2.345751	3410.422	1949758766	7473732451	3.247658	0.260882	25248225	1245374	0
p1b	direct_strict_track1__y_string_unicode.log	/tmp/skv15-p1/logs/p1b/direct_strict_track1__y_string_unicode.log	y_string_unicode	35601	16854	direct_strict_track1	0	0.895977	1.493247	5357.453	1764622974	12526265686	2.940944	0.140874	19512672	563170	0
p1b	direct_strict_track2__apache_builds.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__apache_builds.log	apache_builds	127275	4715	direct_strict_track2	0	2.094693	3.490564	2291.893	4070825982	17335143339	6.783561	0.234831	43900240	1347630	1631609170278642033
p1b	direct_strict_track2__canada.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__canada.log	canada	2251051	267	direct_strict_track2	0	4.504315	7.494318	1067.475	6990113653	34204308466	11.630212	0.204364	85207699	3696678	1008468329916695715
p1b	direct_strict_track2__citm_catalog.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__citm_catalog.log	citm_catalog	1727204	348	direct_strict_track2	0	0.463477	0.771091	10374.915	1130312063	7100670957	1.880509	0.159184	10275357	244301	0
p1b	direct_strict_track2__distinct_values.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__distinct_values.log	distinct_values	153630	3906	direct_strict_track2	0	2.498416	4.163479	1921.470	6527837207	34782192423	10.878300	0.187678	55493841	1264169	0
p1b	direct_strict_track2__github_events.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__github_events.log	github_events	65132	9213	direct_strict_track2	0	0.784221	1.306902	6121.345	1913539110	8108566509	3.188907	0.235990	17406589	400510	5164854789897046116
p1b	direct_strict_track2__gsoc-2018.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__gsoc-2018.log	gsoc-2018	3327831	181	direct_strict_track2	0	1.392944	2.312565	3459.363	3393189680	8106731007	5.633370	0.418564	30787696	745219	17588957560949363005
p1b	direct_strict_track2__instruments.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__instruments.log	instruments	220346	2723	direct_strict_track2	0	0.670276	1.117122	7161.257	1823319660	11049495860	3.038855	0.165014	14968194	320400	6053947005340795886
p1b	direct_strict_track2__marine_ik.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__marine_ik.log	marine_ik	2983466	202	direct_strict_track2	0	0.794013	1.317513	6072.046	2155669248	12230406255	3.576924	0.176255	17714660	389583	0
p1b	direct_strict_track2__mesh.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__mesh.log	mesh	723597	830	direct_strict_track2	0	1.172635	1.952487	4097.338	2856210357	17978872834	4.755710	0.158865	25978707	613846	0
p1b	direct_strict_track2__numbers.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__numbers.log	numbers	150124	3997	direct_strict_track2	0	0.839787	1.399539	5716.169	2202143561	13751023819	3.669960	0.160144	18664525	424297	7821342331123428551
p1b	direct_strict_track2__random.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__random.log	random	510476	1176	direct_strict_track2	0	1.894230	3.155368	2535.362	4924274718	23974870062	8.202753	0.205393	42069898	958051	0
p1b	direct_strict_track2__twitter.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__twitter.log	twitter	631515	951	direct_strict_track2	0	0.571712	0.951947	8403.825	1343823860	5780695983	2.237578	0.232467	12619569	312825	17794062064648910603
p1b	direct_strict_track2__unicode_basic.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__unicode_basic.log	unicode_basic	1048586	573	direct_strict_track2	0	2.302744	3.832542	2087.388	6130270548	25550602418	10.202837	0.239927	51311040	1120756	7152685547856090394
p1b	direct_strict_track2__unicode_escapes.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__unicode_escapes.log	unicode_escapes	1050797	571	direct_strict_track2	0	1.862230	3.103691	2577.576	4867674994	13837024758	8.112723	0.351786	41362969	954069	4835405340194808800
p1b	direct_strict_track2__unicode_mixed.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__unicode_mixed.log	unicode_mixed	1053086	570	direct_strict_track2	0	2.407151	4.010187	1994.919	6234377057	16099161747	10.386145	0.387249	53472483	1233701	0
p1b	direct_strict_track2__update_center.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__update_center.log	update_center	533178	1126	direct_strict_track2	0	0.926892	1.543898	5181.691	2404417087	9564443428	4.004969	0.251391	20443971	485364	0
p1b	direct_strict_track2__y_string_unicode.log	/tmp/skv15-p1/logs/p1b/direct_strict_track2__y_string_unicode.log	y_string_unicode	35601	16854	direct_strict_track2	0	1.104452	1.840694	4346.187	2772283682	18713499983	4.620325	0.148144	24472695	543304	0
