artifact_kind	path	exists	bytes	sidecar_path	sidecar_exists	sidecar_bytes	log_path	log_exists
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__random.json.gz	true	48889	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__random.json.syms.json	true	19279	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__random.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__twitter.json.gz	true	14018	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__twitter.json.syms.json	true	19892	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__twitter.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__unicode_basic.json.gz	true	69506	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__unicode_basic.json.syms.json	true	17073	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__unicode_basic.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__unicode_escapes.json.gz	true	34957	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__unicode_escapes.json.syms.json	true	20280	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__unicode_escapes.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__unicode_mixed.json.gz	true	76925	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__unicode_mixed.json.syms.json	true	23125	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__unicode_mixed.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__update_center.json.gz	true	32762	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__update_center.json.syms.json	true	19433	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__update_center.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__y_string_unicode.json.gz	true	89936	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track2__y_string_unicode.json.syms.json	true	12931	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track2__y_string_unicode.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__apache_builds.json.gz	true	18322	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__apache_builds.json.syms.json	true	8659	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__apache_builds.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__canada.json.gz	true	160672	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__canada.json.syms.json	true	12480	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__canada.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__citm_catalog.json.gz	true	11040	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__citm_catalog.json.syms.json	true	11454	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__citm_catalog.log	true
